rate_date,from_currency,to_currency,exchange_rate
2024-01-01,EUR,USD,1.1050
2024-01-01,GBP,USD,1.2750
2024-01-01,JPY,USD,0.0071
2024-01-01,AUD,USD,0.6850
2024-01-01,MXN,USD,0.0588
2024-01-01,BRL,USD,0.2050
2024-01-01,INR,USD,0.0120
2024-01-01,SGD,USD,0.7550
2024-01-01,AED,USD,0.2723
2024-01-01,USD,USD,1.0000
2024-01-15,EUR,USD,1.0980
2024-01-15,GBP,USD,1.2680
2024-01-15,JPY,USD,0.0068
2024-01-15,AUD,USD,0.6580
2024-01-15,MXN,USD,0.0592
2024-01-15,BRL,USD,0.2030
2024-01-15,INR,USD,0.0121
2024-01-15,SGD,USD,0.7480
2024-01-15,AED,USD,0.2723
2024-01-15,USD,USD,1.0000
2024-01-31,EUR,USD,1.0850
2024-01-31,GBP,USD,1.2700
2024-01-31,JPY,USD,0.0067
2024-01-31,AUD,USD,0.6620
2024-01-31,MXN,USD,0.0585
2024-01-31,BRL,USD,0.2010
2024-01-31,INR,USD,0.0120
2024-01-31,SGD,USD,0.7510
2024-01-31,AED,USD,0.2723
2024-01-31,USD,USD,1.0000
