trip_id,driver_id,vehicle_id,city_id,service_type_id,trip_status,request_timestamp,accept_timestamp,pickup_timestamp,dropoff_timestamp,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_miles,duration_minutes,base_fare,surge_multiplier,surge_amount,tips,tolls,total_fare,driver_earnings,currency_code,rating_by_rider,source_system,extracted_at
T001,D101,V201,NYC,UBER_X,TRIP_COMPLETED,2024-01-15 08:30:00,2024-01-15 08:32:15,2024-01-15 08:38:00,2024-01-15 09:05:00,40.7580,-73.9855,40.7484,-73.9857,2.5,27,18.50,1.0,0.00,3.00,2.50,24.00,18.00,USD,5,driver_app,2024-01-15 09:10:00
T002,D102,V202,NYC,UBER_X,TRIP_COMPLETED,2024-01-15 08:45:00,2024-01-15 08:46:30,2024-01-15 08:52:00,2024-01-15 09:15:00,40.7484,-73.9857,40.7614,-73.9776,3.2,23,22.00,1.5,11.00,0.00,0.00,33.00,24.75,USD,4,driver_app,2024-01-15 09:20:00
T003,D101,V201,NYC,UBER_X,TRIP_COMPLETED,2024-01-15 09:30:00,2024-01-15 09:31:00,2024-01-15 09:35:00,2024-01-15 09:55:00,40.7614,-73.9776,40.7527,-73.9772,1.8,20,15.00,1.0,0.00,2.00,0.00,17.00,12.75,USD,5,driver_app,2024-01-15 10:00:00
T004,D103,V203,LON,UBER_X,TRIP_COMPLETED,2024-01-15 14:00:00,2024-01-15 14:02:00,2024-01-15 14:10:00,2024-01-15 14:35:00,51.5074,-0.1278,51.5194,-0.1270,2.1,25,15.50,1.2,3.10,2.50,0.00,21.10,15.83,GBP,5,driver_app,2024-01-15 14:40:00
T005,D104,V204,TOK,UBER_BLACK,TRIP_COMPLETED,2024-01-15 23:00:00,2024-01-15 23:03:00,2024-01-15 23:10:00,2024-01-15 23:45:00,35.6762,139.6503,35.6895,139.6917,5.5,35,4500,1.0,0,500,200,5200,4160,JPY,5,driver_app,2024-01-15 23:50:00
T006,D105,V205,MEX,UBER_X,TRIP_COMPLETED,2024-01-15 10:00:00,2024-01-15 10:02:00,2024-01-15 10:08:00,2024-01-15 10:30:00,19.4326,-99.1332,19.4270,-99.1677,4.2,22,120.00,1.0,0.00,20.00,0.00,140.00,105.00,MXN,4,driver_app,2024-01-15 10:35:00
T007,D101,V201,NYC,UBER_X,CANCELLED_BY_RIDER,2024-01-15 11:00:00,2024-01-15 11:01:00,,,40.7580,-73.9855,,,0,0,0.00,1.0,0.00,0.00,0.00,5.00,2.50,USD,,driver_app,2024-01-15 11:05:00
T008,D106,V206,SFO,UBER_POOL,TRIP_COMPLETED,2024-01-15 17:30:00,2024-01-15 17:32:00,2024-01-15 17:40:00,2024-01-15 18:15:00,37.7749,-122.4194,37.7849,-122.4094,3.5,35,12.00,2.0,12.00,0.00,5.00,29.00,21.75,USD,4,driver_app,2024-01-15 18:20:00
T009,D107,V207,NYC,UBER_X,TRIP_COMPLETED,2024-01-12 09:00:00,2024-01-12 09:02:00,2024-01-12 09:08:00,2024-01-12 09:35:00,40.7580,-73.9855,40.7128,-74.0060,4.5,27,28.00,1.0,0.00,5.00,3.50,36.50,27.38,USD,5,driver_app,2024-01-15 10:00:00
T010,D108,V208,LAX,UBER_X,TRIP_COMPLETED,2024-01-15 07:00:00,2024-01-15 07:03:00,2024-01-15 07:10:00,2024-01-15 07:45:00,33.9425,-118.4081,34.0522,-118.2437,18.5,35,45.00,1.0,0.00,8.00,4.50,57.50,43.13,USD,5,driver_app,2024-01-15 07:50:00
